ESPECIE,T_DISTRIB,VEDA,RESOLUCION,ENTID_VEDA,CATEG_CIT,CATEG_UICN,CATE_MINIS,MIGRACION,TIPO_MIGR,VIGEN_VEDA,USO,DIETA,DISTR_ALT,TABLA,TABLA
Leptodeira annulata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1500,CIRA,NULL
Leptophis ahaetulla,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<2000,CIRA,VRC
Leptotila verreauxi,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<2800,CIRA,VRC
Lygophis lineatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,No,0,Indefinida,0,Insectivoro,<1500,CIRA,VRC
Mabuya sp.,,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,,,Indefinida,,Insectivoro,,CIRA,NULL
Machetornis rixosa,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<900,CIRA,VRC
Manacus manacus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Frugívoro,<1000,CIRA,VRC
Mastigodryas boddaerti,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<2600,CIRA,NULL
Megaceryle torquata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Carnivoro,<1500,CIRA,VRC
Megarynchus pitangua,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Omnivoro,<1500,CIRA,NULL
Melanerpes rubricapillus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<1900,CIRA,VRC
Milvago chimachima,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apendice II,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<1200,CIRA,VRC
Mimus gilvus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,Mascotas,Omnivoro,<2500,CIRA,VRC
Molothrus bonariensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<900,CIRA,NULL
Molothrus oryzivorus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,No Aplica,Indefinida,,Omnivoro,<2000,CIRA,NULL
Momotus subrufescens,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1300,CIRA,NULL
Monodelphis adusta,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1200,CIRA,NULL
